
 SWASH is preparing computation

+SWASH is processing output request    1
[ 45%]   step 280
[ 45%]   step 281
[ 45%]   step 282
[ 46%]   step 283
[ 46%]   step 284
[ 46%]   step 285
[ 46%]   step 286
[ 46%]   step 287
[ 46%]   step 288
[ 47%]   step 289
[ 47%]   step 290
+SWASH is processing output request    1
[ 47%]   step 291
[ 47%]   step 292
[ 47%]   step 293
[ 47%]   step 294
[ 48%]   step 295
[ 48%]   step 296
[ 48%]   step 297
[ 48%]   step 298
[ 48%]   step 299
[ 48%]   step 300
[ 49%]   step 301
[ 49%]   step 302
[ 49%]   step 303
[ 49%]   step 304
[ 49%]   step 305
[ 49%]   step 306
[ 50%]   step 307
[ 50%]   step 308
[ 50%]   step 309
[ 50%]   step 310
+SWASH is processing output request    1
[ 50%]   step 311
[ 50%]   step 312
[ 51%]   step 313
[ 51%]   step 314
[ 51%]   step 315
[ 51%]   step 316
[ 51%]   step 317
[ 51%]   step 318
[ 52%]   step 319
[ 52%]   step 320
[ 52%]   step 321
[ 52%]   step 322
[ 52%]   step 323
[ 52%]   step 324
[ 53%]   step 325
[ 53%]   step 326
[ 53%]   step 327
[ 53%]   step 328
[ 53%]   step 329
[ 53%]   step 330
+SWASH is processing output request    1
[ 54%]   step 331
[ 54%]   step 332
[ 54%]   step 333
[ 54%]   step 334
[ 54%]   step 335
[ 54%]   step 336
[ 55%]   step 337
[ 55%]   step 338
[ 55%]   step 339
[ 55%]   step 340
[ 55%]   step 341
[ 55%]   step 342
[ 56%]   step 343
[ 56%]   step 344
[ 56%]   step 345
[ 56%]   step 346
[ 56%]   step 347
[ 56%]   step 348
[ 57%]   step 349
[ 57%]   step 350
+SWASH is processing output request    1
[ 57%]   step 351
[ 57%]   step 352
[ 57%]   step 353
[ 57%]   step 354
[ 58%]   step 355
[ 58%]   step 356
[ 58%]   step 357
[ 58%]   step 358
[ 58%]   step 359
[ 58%]   step 360
[ 59%]   step 361
[ 59%]   step 362
[ 59%]   step 363
[ 59%]   step 364
[ 59%]   step 365
